!-------------------------------------------------------------------
! Pressure drop file for Pipe segment 1
!-------------------------------------------------------------------
! The following correlations are supported:
!
! ALIAS     FULL NAME
! -----     ---------
!
! BB73      Beggs and Brill. 1973. "A Study of Two-Phase Flow in Inclined Pipes"
! TABLE     3D interpolation of a pressure drop table
!
!-------------------------------------------------------------------

CORRELATION TABLE 

!qg		qo	qw	dp
!1000m³/d	m³/d	m³/d	kgf/cm²
0	0	0	0
40	75	75	35.24974516
40	75	150	39.51070336
40	75	225	40.01019368
40	75	300	39.73496432
40	75	375	39.28644241
40	75	450	38.16513761
40	75	525	37.3088685
40	75	600	36.43221203
40	75	675	35.52497452
40	75	750	34.23037717
40	75	825	33.41488277
40	75	900	32.36493374
40	75	975	31.55963303
40	75	1050	30.21406728
40	75	1125	28.53211009
40	75	1200	28.39959225
40	75	1275	27.08460754
40	75	1350	25.5351682
40	75	1425	24.4138634
40	75	1500	22.03873598
40	75	1575	22.30377166
40	75	1650	22.39551478
40	75	1725	22.6401631
40	75	1800	22.9459735
40	75	1875	23.24159021
40	75	1950	23.52701325
40	75	2025	23.80224261
40	75	2100	24.06727829
40	75	2175	24.33231397
40	75	2250	24.58715596
40	150	75	37.74719674
40	150	150	38.55249745
40	150	225	38.56269113
40	150	300	38.05300714
40	150	375	37.33944954
40	150	450	36.59531091
40	150	525	35.79001019
40	150	600	34.47502548
40	150	675	33.73088685
40	150	750	33.23139653
40	150	825	31.9266055
40	150	900	31.20285423
40	150	975	29.90825688
40	150	1050	28.24668705
40	150	1125	28.11416922
40	150	1200	26.79918451
40	150	1275	25.29051988
40	150	1350	24.15902141
40	150	1425	21.83486239
40	150	1500	22.06931702
40	150	1575	22.16106014
40	150	1650	22.41590214
40	150	1725	22.71151886
40	150	1800	23.01732926
40	150	1875	23.30275229
40	150	1950	23.57798165
40	150	2025	23.85321101
40	150	2100	24.11824669
40	150	2175	24.38328236
40	150	2250	24.62793068
40	225	75	37.24770642
40	225	150	37.4108053
40	225	225	37.12538226
40	225	300	36.53414883
40	225	375	35.90214067
40	225	450	34.29153925
40	225	525	33.89398573
40	225	600	32.97655454
40	225	675	32.82364934
40	225	750	31.68195719
40	225	825	30.88685015
40	225	900	29.6432212
40	225	975	28.03261978
40	225	1050	27.88990826
40	225	1125	26.59531091
40	225	1200	25.127421
40	225	1275	23.99592253
40	225	1350	21.73292559
40	225	1425	21.91641182
40	225	1500	22.00815494
40	225	1575	22.26299694
40	225	1650	22.56880734
40	225	1725	22.86442406
40	225	1800	23.14984709
40	225	1875	23.43527013
40	225	1950	23.71049949
40	225	2025	23.97553517
40	225	2100	24.24057085
40	225	2175	24.49541284
40	225	2250	24.74006116
40	300	75	36.40163099
40	300	150	36.22833843
40	300	225	35.76962283
40	300	300	35.2293578
40	300	375	33.75127421
40	300	450	33.32313965
40	300	525	32.30377166
40	300	600	32.4362895
40	300	675	31.32517839
40	300	750	30.60142712
40	300	825	29.41896024
40	300	900	27.84913354
40	300	975	27.68603466
40	300	1050	25.40265036
40	300	1125	25.0254842
40	300	1200	23.87359837
40	300	1275	21.67176351
40	300	1350	21.79408767
40	300	1425	21.90621814
40	300	1500	22.15086646
40	300	1575	22.45667686
40	300	1650	22.75229358
40	300	1725	23.03771662
40	300	1800	23.32313965
40	300	1875	23.59836901
40	300	1950	23.86340469
40	300	2025	24.12844037
40	300	2100	24.38328236
40	300	2175	24.63812436
40	300	2250	24.88277268
40	375	75	35.41284404
40	375	150	35.0254842
40	375	225	34.57696228
40	375	300	33.16004077
40	375	375	32.77268094
40	375	450	31.79408767
40	375	525	32.05912334
40	375	600	30.99898063
40	375	675	30.31600408
40	375	750	29.19469929
40	375	825	27.69622834
40	375	900	27.50254842
40	375	975	25.27013252
40	375	1050	24.9235474
40	375	1125	23.77166157
40	375	1200	21.63098879
40	375	1275	21.68195719
40	375	1350	21.81447503
40	375	1425	22.05912334
40	375	1500	22.36493374
40	375	1575	22.66055046
40	375	1650	22.95616718
40	375	1725	23.23139653
40	375	1800	23.50662589
40	375	1875	23.78185525
40	375	1950	24.04689093
40	375	2025	24.30173293
40	375	2100	24.54638124
40	375	2175	24.79102956
40	375	2250	24.90316004
40	450	75	34.34250765
40	450	150	33.96534149
40	450	225	33.43527013
40	450	300	32.2324159
40	450	375	32.3343527
40	450	450	31.70234455
40	450	525	30.67278287
40	450	600	30.0509684
40	450	675	28.98063201
40	450	750	27.55351682
40	450	825	27.32925586
40	450	900	25.15800204
40	450	975	24.8216106
40	450	1050	23.69011213
40	450	1125	21.61060143
